utts	labels
Hello! Can you please recommend a 3-star hotel?	find_hotel
Yes, I'm looking to stay at a guesthouse while I'm in town. I don't need internet access, so don't worry about that.	find_hotel
I need a place to stay in the east that has free wifi available.	find_hotel
Yes, I am looking for cheap lodging in town that includes free wifi.	find_hotel
Hi. I'm looking for a place to spend the night, and I want somewhere without any hidden fees for parking or wifi.	find_hotel
I am visiting and need a hotel in the north	find_hotel
Hi, I'm looking to book the Hamilton Lodge in Cambridge	find_hotel
I'm looking for a 4 star hotel.	find_hotel
I'm looking for a hotel that includes free wifi.	find_hotel
i need a place to stay	find_hotel
Hi, I'd like to find out more about any luxury hotels that have at least a 3-star rating.	find_hotel
I'm looking for a place to stay that includes free wifi and parking.	find_hotel
I need to find out information about a particular hotel called warkworth house	find_hotel
I need a place to stay in Cambridge. It should be either a hotel or guesthouse with 1 star and moderate price range. Can you help me with that?	find_hotel
I'd like some information on the Hamilton Lodge hotel, please.	find_hotel
I'm taking a trip in cambridge and need a place to stay. I would like a 4 star in the moderate price range.	find_hotel
I am looking for a 3 star hotel in the centre of town	find_hotel
Hello, I'd like to get some info one a hotel please.	find_hotel
I am looking for a guesthouse to stay at in the moderate price range.	find_hotel
Can you help me look up a particular hotel that I have in mind?	find_hotel
Can you help me find a nice hotel? I'd like to stay somewhere on the west side of town. A 0 star rating would be great, too.	find_hotel
Hello I need a place to stay in the centre please.	find_hotel
I am looking for some information on rosas's bed and breakfast.	find_hotel
i need a hotel with wifi in the north part of town	find_hotel
I'm looking for information on a hotel called hamilton lodge.	find_hotel
Hello, I'm looking for a hotel to stay in during my visit to Cambridge. Can you please help me find something in the moderate price range? No specific amenities needed.	find_hotel
Yes I would like information on the Cambridge Belfry.	find_hotel
I sure hope so. I'd like to find a place to stay, with four stars, in the north.	find_hotel
I am looking for a place to stay with free parking.	find_hotel
I'm looking for a place to stay in the north.	find_hotel
Hello, I'm looking for a place to stay on the north end. I'd like a place with free wifi.	find_hotel
I am hoping you might be able to help me find a place to stay last minute. I am on a bit of a budget so I need something moderate.	find_hotel
i need info about cityroomz	find_hotel
Hi, I am planning a trip and could use some advice on a place to stay.	find_hotel
I need a place to stay in the west of town.	find_hotel
i need a place to stay in Cambridge thats 4 star with free wifi	find_hotel
Hi I am looking for a moderate priced place to stay that has free wifi.	find_hotel
I need a hotel close to downtown Cambridge please.	find_hotel
I'm looking for a moderately priced hotel that offers free wifi. Do you have any of those?	find_hotel
Hi I am looking for some info on the Worth House hotel.	find_hotel
Need a place to stay, free wifi. Needs to be a hotel.	find_hotel
Can you help me find a hotel to stay in that includes free wifi and has a 4 star rating? Thanks!	find_hotel
I need a place to stay in the north in the moderate price range if you could help me.	find_hotel
I would like to book a hotel.	find_hotel
Could you help me find a 3 star hotel with free wifi in Cambridge?	find_hotel
I need a guesthouse rental that has free parking.	find_hotel
I am looking for a particular hotel. Its name is called autumn house	find_hotel
Please I need a place to Stay in Cambridge and I have the express by holiday inn Cambridge in mind. Can you help book that for me?	find_hotel
I am needing to find a place to stay while traveling in Cambridge. I would like a guesthouse that is 4 stars.	find_hotel
Hello, can you recommend a moderately-priced hotel in the North part of town, please?	find_hotel
Which hotels in Cambridge offer free wifi for guests?	find_hotel
I am looking for a guesthouse with free parking.	find_hotel
I'd like some information about the University Arms Hotel.	find_hotel
I need a place to stay in the expensive range.	find_hotel
Hey I'm looking for a hotel that has free parking, can you find one?	find_hotel
I'm looking for a place that offers free parking to it's guests. Got any hotels that offer that?	find_hotel
I need a guesthouse with free wifi.	find_hotel
I'm just looking for a place to sleep tonight in Cambridge.	find_hotel
I would like an inexpensive hotel on the west side of town.	find_hotel
I am looking for a hotel to stay at in Cambridge, at least a 4 star place please	find_hotel
i am looking for a place to stay. The hotel should have a star of 4 and should include free wifi.	find_hotel
Everyone keeps telling me I have to stay at Cityroomz when I visit next. Have you heard of it?	find_hotel
I need a hotel to stay with a 3 star rating please.	find_hotel
I'm looking for an expensive place to stay with free parking please.	find_hotel
I'm looking for a guesthouse with free parking, please.	find_hotel
I am looking for a hotel near the mall. The hotel should has free indoor parking, even it doesn't include internet.	find_hotel
Hi, I'm looking for a hotel that was recommended. It's called the Cambridge Belfry?	find_hotel
I'm planning my trip to Cambridge and am looking for a particular hotel.	find_hotel
There is a certain hotel I want to stay in, can you book that?	find_hotel
i need a place to stay	find_hotel
Would you be able to help me find a room that has free wifi?	find_hotel
Hi I need a hotel that is in the east. I don't need free parking.	find_hotel
I would like to stay in a hotel that is moderately priced and includes free parking. Can you help?	find_hotel
i need information of a hotel called allenbell.	find_hotel
I am excited to eat at some great restaurants during my visit. Can you help me find a guesthouse?	find_hotel
I am looking for a place to stay. The hotel should be in the type of guesthouse and should be in the cheap price range	find_hotel
I'm looking for a hotel with free wifi.	find_hotel
I am looking for a hotel with free wifi for when I am visiting Cambridge.	find_hotel
I need a place to stay in the north that has free wifi.	find_hotel
I need a hotel in the lower price range that includes free parking.	find_hotel
I need a palce to stay that has free wifi but in the moderate price range.	find_hotel
Are there any cheap hotels (not guesthouses) in town?	find_hotel
Good morning, I need a place to stay that has free wifi and that is in the expensive price range. Can you please tell me what is available?	find_hotel
Can you help me find a hotel today?	find_hotel
I'm looking for a moderate priced place to stay with free parking please.	find_hotel
I am going to be visiting and would like a guesthouse.	find_hotel
Could you help me find a hotel on the south side of town?	find_hotel
Hi, I'd like to find out about the Hobsons House hotel.	find_hotel
Can you help me find a place to stay?	find_hotel
I need a place to stay with a star rating of 0.	find_hotel
I'm looking for a hotel called a and b quest house.	find_hotel
I am looking for a hotel with free wifi.	find_hotel
Can you help me find a hotel with free parking?	find_hotel
I'm looking for a hotel with a 4 star rating to stay at and I don't need to have internet. Can you help?	find_hotel
I would like to find a guesthouse to stay in that's in the expensive price range. Can you help me?	find_hotel
Hi! Are there any guesthouses in town that have free parking?	find_hotel
Hello. I am coming into town and would like help finding a play to stay.	find_hotel
I am looking for a place to stay that is named aylesbray lodge guest house. Could you give me some information about it?	find_hotel
I need a place to stay in the west part of the town? Some place with free wifi please.	find_hotel
I am looking for a place to stay. The hotel should have a star of 4 and should be in the type of guesthouse	find_hotel
Can you help me find the a and b guest house hotel?	find_hotel
I need a place to stay. What's available on the west side, with free wifi?	find_hotel
Hi. I a looking for a cheap place to stay. What can you recommend for me?	find_hotel
Could you provide me with information about the Huntingdon Marriott hotel?	find_hotel
I want to book the el shaddai hotel.	find_hotel
Hi, I'd like a 3 star hotel please. And also internet!	find_hotel
I am looking for a place to stay. The hotel should be in the moderate price range	find_hotel
I am looking for a place to stay in the east.	find_hotel
Can you find me a place to say in the centre that includes free wifi?	find_hotel
Could you please find me a 4 star guesthouse	find_hotel
I need a cheap place to stay please.	find_hotel
I am looking for a guesthouse please.	find_hotel
Bonjour, I need a 4 star hotel with free internet, please.	find_hotel
Could you give me some information on a hotel named el shaddai?	find_hotel
Could you find me a room at a four star hotel that is kind of cheap?	find_hotel
Yes I am looking for a hotel that includes free wifi and has a three star rating please.	find_hotel
i am looking for a place to stay. The hotel should have a star of 4 and should be in the cheap price range.	find_hotel
i am looking for a particular hotel. Its name is called aylesbray lodge guest house.	find_hotel
I am looking for a place to stay.	find_hotel
I want to find an expensive hotel with a star of 4.	find_hotel
Hi! Can you help me find a hotel somewhere on the west side of town please?	find_hotel
I am looking for a place to stay with free wifi.	find_hotel
I need a room.	find_hotel
I'm looking to find lodging in a hotel in the expensive price range	find_hotel
I'm looking for a hotel named Worth House	find_hotel
I want to find a guesthouse place to stay with a 3 star rating.	find_hotel
I'm looking for a place to stay in the centre. It doesn't need to include internet.	find_hotel
I am visiting Cambridge and need a place to stay in the moderate range that has free internet.	find_hotel
Hello, I'm looking for a hotel that is cheap. It doesn't need to have free parking.	find_hotel
I am looking for a cheap place to stay in the east part of town.	find_hotel
Please suggest to me a 4 star motel in Cambridge that offer free wifi.	find_hotel
Hello, can you give me information about Express by Holiday Inn Cambridge, please?	find_hotel
I'm looking for a place to stay in west Cambridge.	find_hotel
How much for a room in a hotel in the city center?	find_hotel
Can you help me find a place to stay that is moderately priced and includes free parking?	find_hotel
Hi, I'm looking for the Bridge Guest House. Can you give the information about it please?	find_hotel
I am looking for a place to stay. The hotel should have a star of 3 and should be in the moderate price range	find_hotel
Hi, I'm looking for a guesthouse in the south part of town. Do you have anything in that category?	find_hotel
I'm looking for a place to stay in the city centre that has free parking.	find_hotel
Hi, can you help me find a 4 star guesthouse?	find_hotel
Hi, I am planning my upcoming trip and am looking for a place to stay. Can you recommend something for me?	find_hotel
Are there any available rooms in the Autumn House?	find_hotel
I'm looking for a hotel to stay in. I prefer something in the expensive price range, and also one that offers free parking.	find_hotel
I am looking for a place to stay, preferably a guesthouse.	find_hotel
Hello, is there any 4 star places to stay in the north?	find_hotel
I am looking for somewhere to stay in the east.	find_hotel
i am looking for a place to stay. The hotel should have a star of 4 and should include free parking.	find_hotel
Can you help me find information about a hotel called huntingdon marriott hotel?	find_hotel
What can you tell me about the El Shaddai?	find_hotel
I'm looking for a place to stay in Cambridge	find_hotel
I will be visiting Cambridge soon and need a place to stay. I am looking for a guesthouse with at least a star 3 rating.	find_hotel
Hello! I need a place to stay, can you help me find something in a moderate price range?	find_hotel
I am looking for a hotel by the name of home from home.	find_hotel
Can you help me find a place to stay that has free parking? It doesn't need to include internet.	find_hotel
Could you help me locate the Alpha Milton Guest House?	find_hotel
I want a hotel with free parking in the center of town.	find_hotel
I am looking for a place to stay and it doesn't need free parking , but I would like it to be cheap.	find_hotel
I would like to know more about Rosa's b&b	find_hotel
Do you have information about the Lovell Lodge?	find_hotel
I am looking for a place to stay with free wifi.	find_hotel
I need to find a place to stay in the moderate price range with free parking.	find_hotel
i am looking for a place to stay. The hotel should be in the type of guesthouse and should include free parking.	find_hotel
Is there a place to stay in the north area of town? Can it have free wifi access too?	find_hotel
Can you tell me about a particular hotel called the avalon?	find_hotel
Hi I am planning a trip and need to find a cheap place to stay in the west part of Cambridge.	find_hotel
I need information about places to stay that have a 4-star rating and offer free wifi.	find_hotel
I'm looking for a place called gonville hotel.	find_hotel
I'm so tired. Really need a place to lay my head for the nights. Can you find me some 3-star lodgings somewhere in the south?	find_hotel
yes you can help me I need to find a place to stay that includes free wifi and is in the moderate price range.	find_hotel
Hi, I need a place to stay. Something expensive on the north side.	find_hotel
I need to find a hotel with free wifi to stay at. Can you help me?	find_hotel
Hello any restaurants suggestions ? I am also looking for nice 4 star hotels with wifi.	find_hotel
Hi, I'm looking for a 4 star place that offers free wifi.	find_hotel
Are there any hotels where the wifi doesn't cost extra?	find_hotel
Hi there. I could use some help finding a place to stay that is 4 star rated.	find_hotel
I'm looking for a place to stay with free wifi. Can you help me find something moderately priced?	find_hotel
I need a particular hotel please.	find_hotel
Hello, I am looking for a guesthouse that includes free parking.	find_hotel
I am looking for a place to stay that has a 4 star rating in the east part of town.	find_hotel
I'm looking for a hotel called acorn guest house	find_hotel
I'm looking for some moderately priced accommodations for my visit. Can you help me with that?	find_hotel
I need a place to stay in the north please.	find_hotel
I would like to stay in a guesthouse that has free parking while I'm in Cambridge. Thanks.	find_hotel
Hello can you help me find a place to stay, such as a hotel? Also it needs to be at a reasonable price with free parking.	find_hotel
I am looking for a hotel tonight.	find_hotel
I am looking for a cheap hotel with free wifi	find_hotel
I would like to locate a particular hotel	find_hotel
Hi! I'm looking for a guesthouse.	find_hotel
Can you help me find a nice 4 star hotel?	find_hotel
Hi, I'm looking for a place to stay that has free parking.	find_hotel
Yes, Hi! I am looking for a hotel in the tampa bay area.	find_hotel
I need a place to stay that includes free parking and should be in the west please.	find_hotel
I'm looking to stay at a 4 star hotel that includes free parking.	find_hotel
Hello, I'm looking for a 4 star place on the westside to stay at.	find_hotel
I would like info about the Cityroomz hotel please	find_hotel
I am excited to visit some of your attractions. Can you help me find a place to stay in the east part of town?	find_hotel
I need a hotel, in the south.	find_hotel
Hi, I'm looking for a hotel, the archway house?	find_hotel
Hello. I am looking for a cheap guesthouse to stay in in Cambridge. Can you help?	find_hotel
I am looking for a hotel with a 4 star rating and free parking	find_hotel
I am looking for a hotel that can offer me both free wifi and free parking.	find_hotel
Hi, I am looking for a place to stay.	find_hotel
Yes can you book me a 3 star hotel that offers free parking?	find_hotel
i am looking for a place to stay, a hotel maybe, that has free wifi and should be a 4-star	find_hotel
I am looking for a place to stay. The hotel should be in the type of hotel and should be in the north	find_hotel
I'd like to find a 4 star lodging with free parking.	find_hotel
I'm looking for a 4 star place to stay that has free wifi.	find_hotel
Hello! My friends told me about a hotel called Alexander Bed and Breakfast. Can you get me some information about it, please?	find_hotel
Good morning. Would you be able to tell me if you have any info on a certain hotel?	find_hotel
Can you help me find a moderately priced hotel?	find_hotel
I need a list of cheap places to stay that include free parking.	find_hotel
Hi, I'm looking for a place to stay in Cambridge. Can you help me?	find_hotel
I am looking for a hotel by the name of The Lensfield Hotel.	find_hotel
I'm looking for a 4 star hotel.	find_hotel
Are there any guesthouses in the north area of town?	find_hotel
Yes, I am looking for an expensive hotel to stay that includes free parking.	find_hotel
I need a hotel with free wifi. I'm broke, though, so find me a 0-star hole in the wall.	find_hotel
Are there any hotel rooms left?	find_hotel
I am interested in finding the Lensfield Hotel.	find_hotel
I am looking for a 3-star guesthouse. Can you please help me?	find_hotel
I'm looking for a hotel in the south part of town.	find_hotel
Yes, I need a hotel in the moderate price range please.	find_hotel
I am planning a trip to Cambridge and am looking for a hotel.	find_hotel
Can you let me now what guesthouses in the area have free parking?	find_hotel
I'm looking for a place to stay that is moderately priced and includes free parking.	find_hotel
I'm looking for a cheap place to stay that does not need free parking.	find_hotel
Hi. Please help me find a 4 star hotel to stay at.	find_hotel
Please find me a place to stay in the centre that includes free wifi.	find_hotel
I'm looking for a hotel in the east, and it doesn't need to include internet.	find_hotel
I need a place to stay that is cheap.	find_hotel
I'm looking for this hotel called home from home, please.	find_hotel
I am looking for a place to stay in cambridge in the moderate price range with 4 stars	find_hotel
Hi, I'm trying to find a place to stay called the cambridge belfry. What can you tell me about that?	find_hotel
Is the alpha-milton guest house still in operation?	find_hotel
I need a guesthouse in the center of the town please.	find_hotel
Hi, I am looking for a 4 star guesthouse.	find_hotel
I am looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse	find_hotel
I am visiting Cambridge and would like to stay at Allenbell can you help give me some information on it?	find_hotel
Hi there, I'd love to find a guesthouse with free parking.	find_hotel
Hi, I'm looking for information on the Autumn House. It's a hotel.	find_hotel
I'm in search of a place to stay. A hotel, please, with free parking.	find_hotel
I'm looking for a guesthouse rental that has free parking.	find_hotel
I am looking for a place to stay in the south.	find_hotel
Can you locate any four star places to stay?	find_hotel
I am looking for a guesthouse to stay in that has free parking.	find_hotel
I'm looking for a particular B&B. Do you handle those?	find_hotel
I'm looking for a place to stay that provides wifi without any extra charges. Can you find something like that for me?	find_hotel
Can you help me find a guesthouse that includes free parking?	find_hotel
I need a hotel room. Are there any left?	find_hotel
i need a 4 star place to stay which should include free wifi.	find_hotel
I would like to find a 2 star hotel to stay at that also includes free parking. Do you have any suggestions?	find_hotel
Can you help me find a hotel that has free wifi?	find_hotel
I am looking for a place to stay that is a guesthouse located in the center of town.	find_hotel
I need a guesthouse in the cheap price range.	find_hotel
I'm looking for an expensive place to stay at in the north section of town, can you help with this?	find_hotel
Can you help me find a place to stay that has a 4 star rating?	find_hotel
I am looking for a particular hotel. Its name is called arbury lodge guesthouse	find_hotel
can you help me find a cheap hotel?	find_hotel
Hi. I'm looking for a hotel in the east. The internet is not needed.	find_hotel
Hi, I I'm looking for a hotel to stay at that is moderately priced and includes free wifi.	find_hotel
I would like to find a guesthouse to stay at, and I don't require free parking.	find_hotel
I'm looking for a cheap place to stay that offers free parking for guests.	find_hotel
I'm looking for a guesthouse style place to stay. It needs to have free parking.	find_hotel
i need a moderately priced hotel in south cambridge.	find_hotel
Can you find me a guesthouse that includes wi-fi?	find_hotel
I'm looking for a hotel in the North with free wifi.	find_hotel
I'd like to find the Lensfield Hotel.	find_hotel
Can you find me an expensive hotel?	find_hotel
i need to find a place to stay in the east side	find_hotel
What have you got on the west side, in the way of places to stay offering free wifi?	find_hotel
I am trying to find the Acorn Guest House.	find_hotel
Hello! I'm looking for a place to stay with free parking and zero stars.	find_hotel
Hi I need a cheap hotel in the three star range, please.	find_hotel
"I'm looking for a particular hotel called ""rosa's bed and breakfast""."	find_hotel
I need to find a place to stay. I want a hotel with free parking and free wifi.	find_hotel
Hello, can you recommend a cheap hotel with free parking, please?	find_hotel
Howdy, I'm looking for a place to stay. I don't care about internet.	find_hotel
I want to find a 4 star hotel with a moderate price.	find_hotel
I am looking for information for Warkworth House.	find_hotel
I want to know about 4 star hotels that include free parking for guests.	find_hotel
Hello, I am looking for a guesthouse to stay in and I would like it to have free parking.	find_hotel
I am looking for a guesthouse type room that includes free wifi.	find_hotel
Hello are you familiar with Rosa's bed and breakfast? I've been looking for this hotel for forever!	find_hotel
I need lodgings, and I'd like to stay in an expensive guesthouse.	find_hotel
"I need information on a hotel named,""rosa's bed and breakfast""."	find_hotel
I'm trying to find a hotel called Worth House. Can you help me?	find_hotel
What can you tell me about the hotel el shaddai?	find_hotel
I need a hotel and I need free wifi and parking.	find_hotel
I need a place to stay in the East. I don't need to have access to the Internet.	find_hotel
I am looking for a place to stay with a guesthouse set up and free parking.	find_hotel
I want a place to stay in the east.	find_hotel
Can you find me a guesthouse with free parking?	find_hotel
I'm looking for a cheap guesthouse.	find_hotel
Hello. I'm trying to plan my trip to Cambridge and need to find a hotel with free parking.	find_hotel
I'm looking for a place to stay. I need to find free parking and I only want to stay in a hotel and not any thing else other than that.	find_hotel
I need a hotel the next town over.	find_hotel
I need a place to stay and I would like a guesthouse.	find_hotel
I need a nice place to stay, do you have those?	find_hotel
I need a place in the north with free wifi, please.	find_hotel
Can you help me find a place to stay? I am looking for an expensive hotel, but it doesn't need free parking.	find_hotel
I'm looking for a place, I think it's called the Arbury Guesthouse and Lodge. Can you help me?	find_hotel
I'm visiting Cambridge as a tourist! I'm looking for an expensive place to stay that includes free parking!	find_hotel
I need a cheap hotel.	find_hotel
Could you help me find a moderately priced 4 star hotel?	find_hotel
I would like a hotel with free wifi located in the centre.	find_hotel
Can you give me info on four start places, It doesn;t matter if they have free wifi or not.	find_hotel
Can you help me find a guesthouse that includes free wifi?	find_hotel
Have you ever heard of a hotel called the Ashley Hotel?	find_hotel
I want to find an expensive 4 star hotel.	find_hotel
I'm looking for a place to stay that has free parking.	find_hotel
I am looking for a cheap room, free parking.	find_hotel
I need to book a hotel. I need it to be in the town center, and have a minimum star rating of 4.	find_hotel
I am looking for a particular hotel. Its name is called city centre north b and b	find_hotel
Yes, I'm looking for hotels in the north area.	find_hotel
I am looking for a cheap hotel with free parking.	find_hotel
I need a 4 star place to stay.	find_hotel
I'm looking for a moderately priced hotel that includes free wifi.	find_hotel
Can you help me find a place to stay that includes free wifi and doesn't need to have free parking?	find_hotel
Find a budget hotel with free parking in Cambridge.	find_hotel
I would like a hotel to stay in while I visit cambridge.	find_hotel
I'm just looking for a hotel called Leverton House.	find_hotel
I'm looking for the university arms hotel. Can you give me more information about it?	find_hotel
i need a place to stay	find_hotel
I want to make a booking at the alexander bed and breakfast.	find_hotel
Can I get some information on the arbury lodge guesthouse?	find_hotel
I need a three-star place to stay please.	find_hotel
I want to stay at an expensive 4 star hotel.	find_hotel
Find me places to stay in town that include free parking and free wifi.	find_hotel
Thank you. I just happen to be looking for a place to stay. The hotel should be located west and it doesn't need to have free parking or anything like that.	find_hotel
I'm needing a 4 star guest house today.	find_hotel
Can you help me find a 4 star rated place to stay please?	find_hotel
I would like to find a guesthouse in Cambridge that has free wifi.	find_hotel
I'm looking for a guesthouse to stay at with free wifi please.	find_hotel
I'm looking for a hotel to stay in. It should have free internet and parking.	find_hotel
I would like to stay at Rosa's bed and breakfast in cambridge. can you give tell me their contact information and location?	find_hotel
I need a place to stay in Cambridge that is a 2 star hotel with or without free parking.	find_hotel
I'm looking for Hotels in the center area of town.	find_hotel
