food,pricerange,area,name,utts
indian,moderate,,,"Hello, I am looking for a place to dine. I'd prefer it to be moderately priced and serve Indian food."
,,centre,,"Hello, I'd like some information on a restaurant in the centre."
steakhouse,,,,Would you be able to suggest a steakhouse restaurant in Cambridge?
modern european,moderate,,,I'm looking for a moderate priced place to dine serving modern european food.
,moderate,east,,I need to find a moderately priced restaurant in the east part of town.
,,,the varsity restaurant,I am looking for information on The Varsity restaurant.
,,,michaelhouse cafe,Yes I am looking for information on Michael House cafe.
british,,centre,,I want to find a restaurant in the centre part of town and serves british food.
,moderate,west,,I would like a moderately priced restaurant in the west part of town
,moderate,,,Can you assist me with finding a moderately priced restaurant?
gastropub,,,,I need the address of a restaurant that serves gastropub food.
,expensive,,,"I'm looking for a restaurant that's on the pricier end, I want to impress some people. Is there something you'd recommend?"
,,,,I wanted to find out about local restaurants in Cambridge.
swiss,,,,Hello. I'm trying to find a restaurant that serves Swiss food. Can you recommend anything to me?
asian oriental,expensive,,,I want to dine at an expensive asian oriental food restaurant.
,moderate,north,,I am looking for a moderately priced restaurant in the north part of town. I would also like the address and phone number.
,,,cocum,Is there a restaurant called Cocum?
cuban,,centre,,"Yes, I'm looking for a Cuban restaurant in the Centre."
belgian,expensive,,,I am looking for a place to eat that's expensive and serves Belgian food.
modern european,,centre,,I'm looking for a restaurant in the centre serving modern european food.
,expensive,west,,I'm looking for an expensive restaurant in the west.
italian,expensive,,,"Hi, can you point me to an expensive restaurant that serves Italian food? I will be in the area soon."
creative,,centre,,"I need to place to eat, say, in the center of the town with some creative food."
modern european,,,,I'm so hungry! Can you find me a really great modern european restaurant? Money is no object!
,moderate,north,,I'd like a restaurant in the north part of town that is in the medium price range.
chinese,expensive,,,I am looking for an upscale Chinese food restaurant in Cambridge; can you make a recommendation?
,moderate,west,,I'm looking for a restaurant in the west side that's in the moderate price range.
,cheap,north,,"Cheap restaurant in the north. address and phone number, please."
german,cheap,,,I want to find a German restaurant please that's in the cheap price range.
,expensive,west,,I am looking for a restaurant that is expensive and in the west
japanese,,,,We would like to eat some Japanese food while we are visiting.
,,south,,What is good in the south part of town
asian oriental,expensive,,,I'm looking for asian oriental food in expensive range.
sri lankan,expensive,,,I am looking for a restaurant in the expensive price range. It should serve Sri Lankan food.
jamaican,,south,,I am looking for a restaurant in the south part of town that serves Jamaican food.
,cheap,west,,I want a cheap restaurant in the west part of town. what is the address and phone number?
international,,north,,I want to find a restaurant in the north part of town and serves international food.
,,west,,I want a place to eat in the west.
corsica,,,,Please find me a corsica restaurant.
korean,,north,,I would like a restaurant in the north part of town that serves korean food
,,,city stop restaurant,I'm looking for this restaurant called city stop restaurant
australian,,centre,,I want to find out if there are any places to dine that serve Australian food in the centre.
british,moderate,,,Are there any British restaurant that serve moderate priced food?
vegetarian,expensive,,,"Hello, I am looking for an expensive restaurant that serves vegetarian food."
,,west,,I am looking for a restaurant in the west part of town.
german,,east,,Can you tell me about any german restaurants in the east part of the city?
,,,,I am looking for a restaurant.
european,expensive,,,"Hi, I am looking for a restaurant that is expensive and serves European food."
indian,,east,,I would like to dine at a restaurant serving Indian food on the east side of town. Any suggestions?
,moderate,east,,I need help finding a place to eat that is moderately priced and located in the east.
,,,maharajah tandoori restaurant,I'm looking for a place called maharajah tandoori restaurant. Do you know it? It's a restaurant.
,expensive,centre,,I'm looking for a restaurant in the centre of town and it needs to be in the expensive price range.
,moderate,,,I am looking for a moderately priced restaurant.
german,,west,,I am looking for a German restaurant in the west part of town.
,cheap,west,,I'm looking for a restaurant in west part of town with cheap food.
spanish,cheap,,,"Yeah, my wife and kids are demanding Spanish food. Can we keep it on the cheap side, please?"
brazilian,expensive,,,I'm needing a place to dine. It needs to be an expensive Brazilian place.
,cheap,south,,I am looking for a restaurant in the south part of town that is in the cheap price range.
british,,centre,,I'm hoping to find a restaurant in the centre that serves British food.
vegetarian,,,,I am looking for a restaurant with vegetarian food.
,,,,"Hi there, I've just started planning my trip. Can you help me find a restaurant?"
modern european,,north,,Is there a modern European restaurant in the north?
,,,rajmahal,Can you find a restaurant called Rajmahal.
polynesian,,,,Can you find a place in town that serves Polynesian food?
gastropub,,south,,AM looking for a place to dine. The restaurant should be in the south and should serve gastropod food.
,expensive,centre,,Can you tell me about any expensive restaurants in the Centre?
,expensive,west,,Can you help me find an expensive restaurant in the west?
chinese,,centre,,I'm looking for a chinese restaurant in city centre.
,,west,,I am looking for a restaurant in the west part of town
,cheap,north,,I am looking for a cheap restaurant that is in the north part of town.
indian,,west,,I am looking for a restaurant that serves indian food in the west.
turkish,moderate,,,"Hello, are there any moderate turkish restaurants in town?"
portuguese,,,,is there a portuguese food restaurant?
,,,,Great. You can help me pick out a restaurant go to.
,expensive,centre,,You can help me by finding me an expensive restaurant in the centre
,moderate,east,,I am looking for a moderately priced restaurant in the east part of town.
,,centre,,"Hello, I need a place to eat in the center of town."
french,,,,"I would like to find a French restaurant, please."
,,west,,I would like a restaurant in the west part of town
seafood,,centre,,"Hi! I'd like to find a seafood restaurant in the centre of town, please."
,expensive,south,,Can you locate an expensive restaurant in the south?
italian,cheap,,,Hello I am looking for a restaurant that serves Italian food and I need it to be cheap.
lebanese,,dontcare,,I would like to find a restaurant in any area and it should serve lebanese food.
,moderate,west,,"I'm looking for something moderately priced in the west part of town, could you get me the number and full address please?"
,,,,Hi. I'll be traveling to there and can't wait to try the restaurants there. Could you help me find a place?
thai,,dontcare,,I am looking for a Thai restaurant - any area will do.
indian,moderate,,,Can you help me find a moderately priced Indian restaurant?
italian,,east,,"Hey, is there any good italian food on the eastside?"
chinese,expensive,,,Please help me find an expensive restaurant that serves Chinese food. Thank you.
caribbean,,centre,,I would like a restaurant in the centre of town that serves caribbean food
chinese,expensive,,,I'm looking for an expensive Chinese restaurant.
chinese,,south,,I am looking for the address and price range of a restaurant serving chinese food in the south part of town.
,cheap,centre,,"HI, I am looking for a cheap place in the centre of town to eat. Can you help?"
panasian,,south,,Hi! I'm searching for a Panasian restaurant in the south part of town.
,cheap,,,"Hi, I'm looking for a cheap restaurant."
,,,pasquale pizzeria,I am looking for pasquale pizzeria.
italian,expensive,,,"I would like to try an expensive, italian place while visiting cambridge."
european,expensive,,,I am looking for a place to dine. I would like european food in the expensive price range.
unusual,expensive,,,I want to eat someplace with unusual food. Price is no object. What can you suggest?
,cheap,centre,,Need a cheap place to eat at at the centre.
italian,cheap,,,"Howdy! I'm craving some cheap Italian food, you got any place like that?"
mediterranean,,,,I am looking for a restaurant that serves mediterranean food.
italian,,east,,I am looking for an Italian restaurant in the east.
welsh,,,,Hi. I'm trying to find a restaurant that serves Welsh food. Can you help me?
indian,,centre,,I'm looking for a restaurant that serves Indian food located in the centre.
mexican,,centre,,Are there any Mexican restaurants in the centre?
,cheap,,,I need a place to eat that is cheap.
asian oriental,expensive,,,"Hello, I'm trying to find an expensive asian oriental restaurant. Can you help me find one?"
belgian,,centre,,I'm looking for a Belgian food restaurant in the centre. Can you help me?
gastropub,cheap,centre,,I am looking for a cheap gastropub restaurant in the centre of town
,moderate,north,,I want to find a place to dine located in the north and moderately priced.
european,,centre,,Can you tell me if there are any european restaurants in the center of town?
,cheap,east,,Hello. I'm looking for a cheap restaurant in the east part of town.
,,,,Would you be able to help me locate a restaurant in Cambridge?
,,,graffiti,Can you help me find a restaurant called graffiti please?
crossover,,,,I need a place to dine on expensive crossover food.
,cheap,centre,,I'm hoping to find a cheap restaurant in the centre.
,expensive,south,,Do you have any recommendations for a restaurant in the south area in a high price range?
,cheap,south,,I am looking for a cheap restaurant in the south part of town.
,expensive,east,,"Hello, what expensive restaurants do you know of in the East part of town?"
,cheap,south,,I am looking for a restaurant. The restaurant should be in the south and should be in the cheap price range
,moderate,centre,,"Hello, I need help finding a moderate priced restaurant in the centre of town."
,,,thanh binh,I'm looking for a restaurant called Thanh Binh. Can you help me find it?
unusual,,south,,I'm looking for unusual food in the south part of town.
,,,river bar steakhouse and grill,"Hello, i'm looking for a restaurant called river bar steakhouse and grill."
welsh,cheap,,,Could you find me a welsh restaurant in the cheap price range ?
chinese,expensive,,,I am looking for a chinese restaurant. I want a place that is expensive and classy.
,,,,I need to book a restaurant.
,,,charlie chan,I am looking for a restaurant called Charlie Chan
european,,,,What is that european food place's address?
,expensive,,,I need a place to eat that is expensive.
,expensive,west,,Are there any expensive places to dine in the West?
,moderate,north,,"I'm looking for a moderately priced restaurant in the north part of town. I would like to know the type of food, address and phone number."
,expensive,north,,I want to find an expensive restaurant in the north.
australasian,,,,Looking for someone that serves Australasian food?
indian,cheap,,,Do you know of any cheap indian restaurants?
,,south,,Looking for place to eat in the south
english,moderate,,,I'm looking for an English restaurant that's moderately priced..
chinese,,centre,,I'm looking for a chinese restaurant in the center of town.
scandinavian,,east,,"I'm in the east part of town, and I'd like to find a nearby Scandinavian restaurant."
portuguese,expensive,,,I am looking for an expensive restaurant that serves Portuguese food. Please also provide the phone number.
sri lankan,moderate,,,"Could you help me find a restaurant that's moderately priced, and services sri lankan cuisine?"
,expensive,centre,,I need help finding a place to dine that is very expensive and is located in the centre.
barbeque,cheap,,,Hello. I want a cheap barbeque restaurant.
corsica,,,,Can you help me find a corsica restaurant?
,moderate,,,I am looking for a moderate priced restaurant
,cheap,west,,I want a cheap restaurant in the west part of town. I need its address and phone number please
kosher,,centre,,I am looking for a restaurant in the centre of town that serves kosher food.
,moderate,east,,"I am looking for an Eastern restaurant, medium price"
gastropub,moderate,,,"Hello, I am looking for a moderately priced restaurant that serves gastropub food."
italian,,centre,,Can you find me an italian restaurant in the centre?
swiss,,,,I want a place that serves Swiss food.
vietnamese,cheap,,,I am looking for a place to dine. The restaurant should be in the cheap price range and should serve vietnamese food.
,,north,,We would like to find a restaurant that is north of town.
italian,,west,,"I'd like to find an Italian restaurant, on the west side."
,,,curry king,"Hey, is curry king still open?"
catalan,expensive,,,I am looking for an expensive place to dine that serves catalan food.
kosher,,west,,I'm looking for a restaurant that serves kosher food in the west side.
,,,golden house,I am looking for Golden House restaurant.
british,moderate,,,Where can I get some British food that isn't too cheap or expensive?
caribbean,,south,,I need to find some caribbean food in south town.
,,,,Can you help me find a place to dine?
,moderate,centre,,I am looking for a restaurant. The restaurant should be in the centre and should be in the moderate price range
steakhouse,expensive,,,Can you find me an expensive restaurant that serves steakhouse food?
,,,cote,I am looking for Cote restaurant.
,expensive,west,,I'm looking for an expensive restaurant in the west.
,,centre,,Can you help me find a restaurant? I want to find a place in the centre.
,moderate,east,,I'm trying to find a moderately priced restaurant in the East part of town. Can you recommend one to me?
belgian,expensive,,,I am looking for a restaurant in the expensive price range that serves Belgian food.
european,cheap,,,im looking for a place that serves morden european food and with a cheap price range
european,moderate,,,"I'm looking for a restaurant that serves traditional european food, that's not too expensive or too cheap."
,expensive,centre,,I'd like to find an expensive restaurant in the centre.
chinese,expensive,,,Can you help me find an expensive restaurant that serves Chinese food to dine at? Thanks.
austrian,,,,I'm looking for an austrian restaurant.
,moderate,south,,I want a restaurant that is moderately priced and located in the south.
,expensive,east,,"Hi, I want an expensive restaurant. East part of town please."
british,moderate,,,I am looking to eat moderate priced British food
japanese,moderate,,,I'm looking for a moderately priced Japanese restaurant.
international,,,,i want to find an international restaurant
gastropub,expensive,,,Find me an expensive restaurant that serves gastropub food
chinese,,,,I'm looking for a Chinese restaurant.
,cheap,centre,,I'm looking for a restaurant. The restaurant should be in the centre and should be in the cheap price range.
,moderate,centre,,I'm looking for a moderately priced restaurant in the center of town.
jamaican,,,,I'd like a jamaican restaurant please.
european,,,,"Hi, I'm looking for a European restaurant."
,,,,We want to find a restaurant that serves unusual food.
,cheap,west,,I would like a cheap restaurant in the west part of town
steakhouse,expensive,,,"Yes, I'm looking for a steakhouse restaurant in the expensive price range."
english,,,,I want english food.
,,,,"I'm looking for a restaurant, can you help?"
,cheap,west,,I am looking for a cheap priced restaurant in the west part of town.
christmas,expensive,,,I want to find an expensive restaurant serving christmas food.
hungarian,,centre,,I'm looking for hungarian food in the Centre
indian,expensive,,,"I would like to find a very expensive indian restaurant, can you help me?"
,moderate,south,,May have the name of a moderately priced restaurant in the south part of town?
vegetarian,,,,I need to find a good vegetarian restaurant
australian,expensive,,,I am looking for an expensive Australian place.
,moderate,north,,I would like a moderately priced restaurant in the north part of town
european,,centre,,I am looking for a restaurant in the center of town that serves European food.
,expensive,centre,,Can you help me find an expensive restaurant in the centre area?
,expensive,south,,I would like an expensive restaurant in the south part of town
,,,royal spice,I need some info on a restaurant called royal spice.
chinese,cheap,,,I want to find a place to eat Chinese in the cheap price range.
,,,,"Hello, I'm interested in booking a restaurant in cambridge!"
,expensive,south,,I would like an expensive restaurant in the south of town.
malaysian,,,,I'm looking for malaysian food.
,,,yippee noodle bar,I'd really like to get the number for the Yippee Noodle Bar restaurant if you please?
,,,bloomsbury restaurant,I need to find information on the Bloomsbury Restaurant.
,,,,Can you help me find a restaurant?
asian,,,,I need to find a asian restaurant in Cambridge
,,,hk fusion,I am looking for a restaurant called HK Fusion.
thai,,centre,,I am looking for a place in the centre of town that serves Thai food.
,expensive,centre,,i am looking for a restuarant in the expensive price range and should be in the centre
,moderate,west,,I would like a moderately priced restaurant in the west part of town
,,,,"I'm looking for a restaurant, can you help?"
indian,cheap,,,Are there any cheap Indian restaurants around?
,cheap,east,,I'd like a cheap restaurant in the east part of town.
gastropub,,,,I'm looking for a gastropub restaurant.
japanese,,centre,,"I am in the center are of Cambridge, are there any Japanese restaurants in that part of town?"
,cheap,centre,,Help! I am hungry and need a cheap restaurant in the centre.
,expensive,north,,"I'm on the North side, please find me an expensive restaurant here"
,,,stazione restaurant and coffee bar,Need a certain restaurant called stazione restaurant and coffee bar.
spanish,,,,"I am looking for a restaurant serving spanish food, please."
european,,centre,,Hi! Are there any European restaurants in the center of town?
turkish,moderate,,,I would like to book a table at a turkish place and is moderately priced.
,expensive,south,,I was hoping to find an expensive restaurant in the south.
,,,nandos,"I need a restaurant. I've heard Nandos recommended, could you give me more information about it?"
vietnamese,cheap,,,Find me a cheap vietnamese food place please.
modern european,cheap,,,I am looking for a cheap modern European restaurant. Can you help me?
hungarian,cheap,,,I want to find a cheap restaurant serving hungarian food.
european,moderate,,,I am looking for a place to dine in the moderate price range and serves European food.
,cheap,south,,Can you please recommend an inexpensive restaurant in the South part of town?
,cheap,east,,I'm looking for a cheap restaurant in the east part of town.
,expensive,centre,,I would like to find a restaurant in the expensive price range that is located in the city center.
,moderate,south,,Hello. Could you help me locate a good moderate restaurant in the south of the city?
,,,meze bar,I am looking for the price range and address of the Meze Bar Restaurant
french,,,,I am looking for a french restaurant.
spanish,cheap,,,Can you find me a cheap Spanish restaurant?
british,,east,,I am looking for a restaurant that serves British food and in the east part of town.
vegetarian,,,,"I am looking for a vegetarian restaurant near South Cambridge, or a restaurant that has a variety of vegetarian dishes."
japanese,dontcare,,,I am looking for a restaurant that serves Japanese food. I don't care about the price range.
european,moderate,,,Can you help me find a moderately placed modern european restaurant?
eritrean,,west,,I am looking to get some eritrean food in the west part of town.
,expensive,north,,Are there any expensive restaurants in the North?
portuguese,cheap,,,I need a restaurant in the cheap price range that serves Portuguese food.
spanish,,,,I am looking for a restaurant serving Spanish food.
,expensive,,,I am looking for a place to dine that is in the expensive price range.
,moderate,north,,I would like a moderately priced restaurant in the north part of town
british,,west,,I am looking for a restaurant that serves british food in the west area. Can you locate one for me please?
,cheap,centre,,Is there anything cheap in the centre of town?
,,west,,I want a restaurant on the west end of town.
barbeque,,centre,,I want to find a restaurant in the centre part of town and serves barbeque food. If not then how about modern european food?
,cheap,east,,I want to find a cheap restaurant in the east part of town. What is the address and postcode?
,expensive,centre,,I'm looking for an expensive place to dine in the centre.
european,dontcare,,,"I don't care about price range, find me an european food restaurant, please."
seafood,,centre,,"I am looking for a restaurant serving seafood, in the center of the town."
,,,golden wok,Do you have any information on a restaurant called the Golden Wok?
middle eastern,,,,Could you help me find a restaurant with middle-eastern cuisine?
greek,,east,,I am looking for a greek restaurant on the east side of town.
,moderate,,,I'm looking for a moderately priced restaurant.
,,,shiraz,Hello! What can you tell me about the Shiraz restaurant?
,expensive,centre,,I need an expensive place to dine in the center of town.
,cheap,,,I am looking for a cheap restaurant.
the americas,,centre,,I'm looking for a restaurant in the center of town that serves food from the americas.
,expensive,centre,,"Hey, are there any expensive restaurants in the centre?"
,moderate,north,,Can you recommend me a moderately priced restaurant in the north part of town ?
,,,la tasca,I'm looking for information on la tasca.
,moderate,west,,"Hello, I'm in the west and I am looking for a restaurant in the moderate price range. Can you please help me?"
,cheap,south,,What is a cheap restaurant in the south part of town?
afghan,expensive,,,Please recommend me an expensive restaurant that serves afghan food.
venetian,,,,I'm looking for a restaurant that serves venetian food.
italian,,centre,,"I am looking for an Italian restaurant in the centre of town, could you provide me with some options to choose from please?"
,,,the gandhi,I'm looking for a restaurant called the gandhi.
italian,cheap,south,,I want a cheap Italian restaurant in the south side of town.
,moderate,east,,I would like a moderately priced restaurant in the east part of town
malaysian,,,,Where can I find malaysian food? I prefer an expensive restaurant please
,,,restaurant two two,I'm looking for a restaurant called restaurant two two?
,,centre,,I am looking for a restaurant in the Centre.
vietnamese,cheap,,,Hi I need to find a place to dine serving Vietnamese food in the cheap price range.
,moderate,centre,,Can you help me find a moderately priced restaurant in the center of town?
chinese,moderate,,,I am looking for a moderately priced chinese restaurant.
,cheap,south,,"Hello, I am looking for a cheap restaurant on the south side of town."
basque,moderate,,,"Hello, I am looking for a moderately priced restaurant that serves basque food."
,expensive,,,"Hi, I'm looking for an expensive restaurant."
chinese,,south,,I'm looking for a chinese restaurant in the south part of town.
malaysian,,dontcare,,I want to find a restaurant in any part of town and serves malaysian food.
,expensive,north,,I am looking to find an expensive restaurant in the north area of town.
british,,centre,,I'm looking for someplace to get British cuisine in the center of town.
swedish,dontcare,,,"Hi. This might be a long shot, but can you help me find a restaurant that serves Swedish food? I don't care about price."
,cheap,south,,"Yes, I am looking for a cheap restaurant in the south. Can you tell me what you have?"
,,,saigon city,I am looking for information on a restaurant called saigon city?
,,centre,,I am looking for a restaurant in the centre of town.
,,,shanghai family restaurant,Does Cambridge have an establishment called the Shanghai Family Restaurant?
danish,,south,,I am looking for a danish restaurant in the south part of town.
,,,cow pizza kitchen and bar,I'm looking for a particular restaurant called the cow pizza kitchen and bar. What do you know about it?
,expensive,east,,Need restaurant thats expensive and in the east of town.
lebanese,,east,,I am searching for a Lebanese restaurant in the east part of town.
,,,anatolia,"I am looking for a restaurant, it's called anatolia"
,moderate,centre,,"Hi, I'm looking for restaurants in the area. Could you recommend any moderately-priced establishments that are located near the town centre."
,cheap,,,Can you help me find a cheap place to eat?
chinese,,north,,Hello I am looking for a place in the north to dine and they need to serve chinese food
,expensive,east,,I'm looking for an expensive restaurant in the east part of town.
,expensive,centre,,I'd like to dine at an expensive restaurant in the city center.
mediterranean,,centre,,I'm looking for a place to dine. The restaurant should be in the centre and should serve mediterranean food.
,,,gourmet burger kitchen,Can you tell me more about gourmet burger kitchen? Where is it?
italian,moderate,,,I'm looking for a nice Italian restaurant. Nothing too expensive...like mid range?
,expensive,centre,,Hi. I'm interested in finding a good restaurant near the center of town. Do you have any listings that fall in the expensive price range?
,expensive,south,,I am looking for an expensive restaurant in the south part of town. I also need the address and type of food they serve.
malaysian,cheap,,,I would like a cheap restaurant that serves malaysian food
international,expensive,,,Hi. I'm looking for a relatively expensive international restaurant to dine at this evening. Is there one that you would recommend?
persian,expensive,,,I am looking for a restaurant serving Persian food in the expensive price range.
,,,the slug and lettuce,I'm trying to find a restaurant called The Slug and Lettuce. Do you know where that is?
,,,galleria,I am looking for a restaurant called Galleria.
,moderate,,,I need a moderate priced restaurant please.
moroccan,cheap,,,Hello. I'm trying to find an inexpensive restaurant that serves Moroccan food. Can you help me?
indian,,north,,Really would like to find a place that serves Indian food in the North
english,,south,,I'd like information about a restaurant in South that serves English food.
mediterranean,dontcare,,,I want a restaurant serving mediterranean food and I don't care about the price range.
,expensive,,,I'm looking for an expensive restaurant to go to.
,moderate,west,,Can I have a moderately priced restaurant in the west ?
panasian,,east,,"Hey, could you tell me if there are any panasian restaurants in the east side of town?"
indian,expensive,,,I'm looking for a pricey Indian place. I wanna show off to my date.
,cheap,,,I need a cheap place to dine please.
,expensive,south,,"Hello, I'm looking for an expensive restaurant located in the south part of town."
,moderate,centre,,Can you check if there are any moderately priced restaurants in the centre of town?
british,expensive,,,"I'm looking for a posh British restaurant to take my bird to, know of one?"
sri lankan,moderate,,,I am looking for a place to dine that serves Sri Lankan food in the moderate price range.
caribbean,expensive,,,Is there an expensive restaurant serving caribbean food?
,,,wagamama,I want to find information on a restaurant called Wagamama.
portuguese,,south,,I'm looking for a portuguese restaurant in the south side.
,cheap,,,I need to find a cheap place to eat.
french,,west,,"Hello, I am looking for info on a restaurant in the west that serves french food."
,,,,Can you suggest some places to dine?
,,centre,bangkok city,What can you tell me about the bangkok city restaurant?
irish,,centre,,"I have to book a place to eat that serves irish food and is located in the centre, can you help me?"
,,,,what is a good tourist spot?
,,,,Could you help me finding some place to eat for dinner?
,expensive,centre,,Can you help me find an expensive restaurant in the center part of town? Thanks.
,,,royal standard,I would like some information of the restaurant called Royal Standard.
gastropub,,centre,,I'm looking for a gastropub food restaurant in the centre of Cambridge please.
,expensive,centre,,Are there any high end restaurants within the centre of town?
,cheap,west,,I am looking for a restaurant in the west part of town that is in the cheap price range.
sri lankan,,,,I'm looking for a casual Sri Lankan restaurant.
,,centre,,I am looking for a place to eat in the centre of town.
italian,expensive,,,I am looking for an expensive Italian restaurant.
,moderate,centre,,Please help me find a place to dine that is moderately priced and is in the centre. Thanks.
barbeque,,,,looking for barbeque food.
,cheap,centre,,"Hello, I'd like to dine at a cheap restaurant in the centre. What do you suggest?"
european,,west,,I'd like a european food place in the west please.
,,,bloomsbury restaurant,Can you give me some information on the Bloomsbury Restaurant?
,moderate,east,,"Hello, I am looking for a moderately priced restaurant on the east side of town."
russian,expensive,,,I am looking for an expensive restaurant that serves russian food.
,,,,I'm looking for a restaurant can you help?
,expensive,,,I want to find an expensive restaurant
,moderate,east,,"Hello, I am looking for a moderately priced restaurant on the east part of town."
,moderate,centre,,"Yes, I'm looking for a moderately priced restaurant in the centre."
european,expensive,,,"need a place to eat european food, expensive too."
,,,,"Hi, I am looking forward to trying some of your local restaurants. I do need help with some other places to go in town while I am there though."
,,,rice house,Hi! I'm looking for information on the Rice House restaurant.
,,east,,"Hello! I would like to go to a restaurant in the east, please."
fusion,expensive,,,"Hello, I am looking for an expensive restaurant that serves fusion food."
,cheap,,,"I would like to book a popular, cheap restaurant."
unusual,,centre,,Can you help me find a place to eat that serves unusual food in the centre?
,,,,I am looking for some restaurant recommendations.
,moderate,,,"I'm looking for a restaurant, something moderately priced."
vegetarian,,,,"Hello, I am looking for a restaurant that serves vegetarian food."
,,,anatolia,I need to find a restaurant in anatolia
greek,,,,Is it possible to get any Greek food in the centre part of town?
cuban,,north,,I am looking for a cuban restaurant in the north part of town.
modern american,,south,,I am trying to find a restaurant in the south of the city that serves modern American food.
,,,pizza hut city centre,I am looking for a particular restaurant. It is called pizza hut city centre.
,,,panahar,I would like to know more about a restaurant called the panahar if you could help?
danish,moderate,,,I would like to find a Danish restaurant with a moderate price range.
,expensive,east,,I want to find an expensive restaurant in the east part of town. What is the phone number and type of food?
,,,golden house,Can you get me information on a restaurant called golden house?
british,,east,,I would like a restaurant in the east part of town that serves british food
korean,,centre,,"I am looking for Korean food, in the Centre of town."
european,,,,I need a restaurant that serves european food please
british,cheap,,,"I need assistance finding a restaurant that is cheap and serves british food, can you help me?"
,expensive,north,,I'd like to find an expensive restaurant in the north part of town.
chinese,cheap,,,I am looking for a cheap restaurant serving chinese food.
,,,,I need a restaurant
indian,cheap,,,I'm looking for a cheap indian restaurant.
,moderate,south,,Are there any moderately priced restaurants in the southern part of town?
unusual,,south,,"Hello, I am looking for a restaurant on the south side of town that serves unusual food."
portuguese,dontcare,,,I want portuguese food and I don't care about the price range. What is the address and phone number?
